,source disease,closest disease
G05073,COVID_HCW_MILD,COVID_SEV
H00053,HV,HV
H00054,HV,HV
H00058,HV,HV
H00064,HV,HV
H00070,HV,HV
H00072,HV,HV
H00085,HV,HV
N00006,Sepsis,HV
N00007,Sepsis,HV
N00012,Sepsis,Sepsis
N00017,Sepsis,Sepsis
N00021,Sepsis,Sepsis
N00023,Sepsis,COVID_SEV
N00024,Sepsis,Sepsis
N00028,Sepsis,Sepsis
N00029,Sepsis,Sepsis
N00032,Sepsis,COVID_MILD
N00033,Sepsis,Sepsis
N00037,Sepsis,Sepsis
N00038,Sepsis,Sepsis
N00039,Sepsis,Sepsis
N00047,Sepsis,Sepsis
N00050,Sepsis,Sepsis
S00002,COVID_MILD,COVID_SEV
S00003,COVID_MILD,COVID_SEV
S00005,COVID_SEV,COVID_SEV
S00006,COVID_MILD,Sepsis
S00007,COVID_CRIT,COVID_CRIT
S00016,COVID_MILD,COVID_MILD
S00020,COVID_CRIT,COVID_CRIT
S00024,COVID_CRIT,COVID_SEV
S00027,COVID_CRIT,COVID_SEV
S00033,COVID_SEV,COVID_MILD
S00034,COVID_SEV,COVID_CRIT
S00037,COVID_SEV,COVID_SEV
S00039,COVID_SEV,COVID_SEV
S00040,COVID_CRIT,COVID_CRIT
S00041,COVID_SEV,COVID_MILD
S00042,COVID_SEV,COVID_CRIT
S00045,COVID_SEV,COVID_MILD
S00048,COVID_SEV,COVID_CRIT
S00049,COVID_MILD,COVID_SEV
S00052,COVID_SEV,COVID_SEV
S00053,COVID_SEV,COVID_SEV
S00054,COVID_CRIT,COVID_SEV
S00056,COVID_SEV,Sepsis
S00058,COVID_MILD,COVID_MILD
S00060,COVID_SEV,COVID_MILD
S00064,COVID_SEV,COVID_MILD
S00065,COVID_CRIT,COVID_CRIT
S00067,COVID_SEV,COVID_MILD
S00068,COVID_CRIT,COVID_CRIT
S00069,COVID_SEV,COVID_MILD
S00072,COVID_SEV,COVID_SEV
S00076,COVID_MILD,COVID_CRIT
S00078,COVID_SEV,COVID_CRIT
S00081,COVID_SEV,COVID_SEV
S00082,COVID_MILD,COVID_SEV
S00094,COVID_CRIT,COVID_CRIT
S00095,COVID_CRIT,COVID_CRIT
S00097,COVID_SEV,COVID_SEV
S00099,COVID_CRIT,COVID_MILD
S00104,COVID_MILD,COVID_SEV
S00106,COVID_SEV,COVID_SEV
S00109,COVID_SEV,COVID_MILD
S00113,COVID_MILD,COVID_SEV
S00114,COVID_MILD,COVID_MILD
S00119,COVID_SEV,COVID_CRIT
S00124,COVID_SEV,COVID_SEV
S00129,COVID_MILD,COVID_SEV
S00134,COVID_SEV,COVID_SEV
S00142,COVID_MILD,COVID_SEV
S00148,COVID_SEV,COVID_SEV
