,source disease,closest disease
S00045,COVID_SEV,COVID_MILD
S00048,COVID_SEV,COVID_CRIT
S00049,COVID_MILD,COVID_SEV
S00052,COVID_SEV,COVID_SEV
S00053,COVID_SEV,COVID_SEV
S00054,COVID_CRIT,COVID_SEV
S00056,COVID_SEV,Sepsis
S00058,COVID_MILD,COVID_MILD
S00060,COVID_SEV,COVID_MILD
S00064,COVID_SEV,COVID_MILD
S00065,COVID_CRIT,COVID_CRIT
S00067,COVID_SEV,COVID_MILD
S00068,COVID_CRIT,COVID_CRIT
S00069,COVID_SEV,COVID_MILD
S00072,COVID_SEV,COVID_SEV
S00076,COVID_MILD,COVID_CRIT
S00078,COVID_SEV,COVID_CRIT
S00081,COVID_SEV,COVID_SEV
S00082,COVID_MILD,COVID_SEV
S00094,COVID_CRIT,COVID_CRIT
